"ID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","Y"
1,1,760,1,0.5,1,3275,0.9617486339,2542,43544,1.3,1.3,0
2,627,41160,97,0.7065244786,0.9976896742,2864,0.7232182806,0,0,9.3,5,0
3,42,19002,38,0.7495756276,0.9643633563,2794,0.7481289129,0,0,4,1,0
4,209,76895,262,0.7715914596,0.9784123056,14061,0.6753891992,0,0,24.7,9.7,0
5,11,12650,10,0.6044882091,0.3755150499,16131,0.1449942206,0,0,10,5.3,0
6,117,55057,121,0.7791790651,1,4222,1,0,0,8.7,6,0
7,144,29560,66,0.7439428458,1,2439,0.8878205128,74,120,4.3,3.7,0
8,184,56162,57,0.7634593594,0.9982638889,6953,0.6735769103,8,13,4.3,3,0
9,3,9835,7,0.7794117647,0.4264705882,16414,0.6321105912,0,0,8.7,4,0
10,3,6603,4,0.6507575758,0.8435606061,18458,0.6108207511,666,1080,5.7,4,0
11,7,13811,5,0.8148148148,1,1067,0.9722222222,2889,4685,2.7,2.3,0
12,789,25931,53,0.8208777584,0.944887943,397,0.5928571429,2314,21811,7,3.3,0
13,16,14167,15,0.692964529,0.9498238196,9281,0.4002793255,548,33219,2.7,2,0
14,0,526,1,0.8333333333,0.75,11681,0.2249004349,281,24821,3,2,0
15,184,26208,138,0.7734649902,0.9826090572,4725,0.9070512821,387,14529,7.7,5,0
16,71,10528,27,0.7339765487,0.9796437659,5889,0.9043531798,158,256,4.3,2.7,0
17,0,0,0,0,0,1283,0.4615384615,713,16239,2.7,2,0
18,85,67112,39,0.8114462811,0.5430367366,2208,0.3601882614,371,62332,13.3,8.7,0
19,125,11994,41,0.7823979763,0.9910600255,1922,0.9072039072,1,2207,2.3,2,0
20,10,15459,11,0.6619832041,0.739502584,23206,0.7815170121,0,0,10,3.3,0
21,13,39307,13,0.7771074058,0.9362354346,0,0,12,20,1.7,1,0
22,1,8164,7,0.7705922949,0.843056063,30569,0.7658156904,10059,16312,16.3,2.7,0
23,10,21790,10,0.7203907204,0.7707570208,4992,0.7672811338,474,35225,2.3,2,0
24,6,13173,5,0.8141923436,1,9144,0.988372093,324,27778,2.3,2.3,0
25,97,6799,91,0.7087834507,0.9976851852,11378,0.9374449967,15,1810,5,1.7,0
26,65,149603,88,0.7428418851,0.998974359,9103,1,0,0,20,5.7,0
27,373,36468,75,0.7537781006,0.9961904762,16514,0.9787198551,0,0,16.3,6.7,0
28,246,16061,35,0.7996119155,0.9943502825,279,1,202,328,5,2.3,0
29,174,30372,85,0.7479373468,0.9975034339,5653,1,136,220,3.7,2,0
30,37,23951,50,0.7483059466,0.9405109815,3631,0.8478835979,0,0,4,3,0
31,14,19960,21,0.6869349005,0.7854128993,10511,0.8039694807,481,780,9,4,0
32,0,0,0,0,0,88,1,1585,24044,1,0.7,0
33,286,23435,31,0.8458286882,1,933,1,7,3136,7,1.3,0
34,15,9151,33,0.6519944156,1,23242,0.980403664,0,0,6.7,2.3,0
35,10,26622,43,0.7746771303,0.9727237114,17261,0.9709126309,37,60,12.7,3.3,0
36,955,51050,64,0.6765099295,1,19619,0.9653017391,26,10671,19.7,7.3,0
37,20,19526,26,0.789448143,0.7965049565,417,0.9,516,837,4,2,0
38,56,28480,33,0.695839426,0.9822775926,3822,0.9750375375,0,0,2.7,2.3,0
39,153,20159,15,0.6461988304,0.9632748538,8125,0.8963532764,1,4672,1.7,1.7,0
40,5,19855,14,0.7189847655,0.8002753584,26222,0.6081462901,0,0,13.3,6,0
41,106,50041,153,0.6840336394,0.9478111307,7400,0.9151545282,0,0,15.7,4.7,0
42,97,8488,10,0.8859649123,0.9736842105,4317,0.8723404255,430,11342,4.3,2.3,0
43,35,13023,13,0.7222222222,0.4623015873,2961,0.487593985,132,4202,2.7,1.7,0
44,0,0,0,0,0,586,0.8333333333,288,17320,3.3,2.3,0
45,91,10180,14,0.7654882155,0.9783549784,625,1,37,14475,10,3.7,0
46,399,36318,55,0.7326902798,1,4178,0.9759139785,19,717,13.7,3.7,0
47,31,26276,25,0.6580743522,0.984977603,16361,0.9295352652,0,0,16,5.3,0
48,0,0,0,0,0,0,0,1543,22223,1.3,1.3,0
49,16,8355,18,0.9153846154,1,2144,0.9444444444,19,30,4,2.7,0
50,439,27193,37,0.776254995,0.9976689977,23708,0.9387866183,0,0,14.7,7.3,0
51,122,31715,23,0.7049368849,0.9050242476,18964,0.6690231747,162,262,14.3,11,0
52,9,15637,8,0.6495614035,0.5436403509,550,0.6875,668,29778,1.7,1.3,0
53,72,15455,17,0.8604971425,1,5189,0.8618686869,2,2833,7.3,5,0
54,1,3087,1,0.8,0.2,18944,0.0309828101,0,0,5.7,4,0
